context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
1,49,77,0,1,7.55298,20566774
1,49,77,1,1,7.53461,20209800
2,49,77,0,1,7.02421,22805432
2,49,77,1,1,7.01045,22864530
3,49,77,0,1,5.93576,24642625
3,49,77,1,1,5.89709,24768260
4,49,77,0,1,4.60185,25944352
4,49,77,1,1,4.54731,26056378
5,49,77,0,1,3.65832,27069027
5,49,77,1,1,3.56963,27236240
6,49,77,0,1,3.1115,28023515
6,49,77,1,1,3.00908,28203842
7,49,77,0,1,2.83866,28747995
7,49,77,1,1,2.72125,28992841
8,49,77,0,1,2.73873,29684332
8,49,77,1,1,2.61292,29703546
9,49,77,0,1,2.72359,30012200
9,49,77,1,1,2.58968,30394406
10,49,77,0,1,2.74321,30589616
10,49,77,1,1,2.60484,30882929
11,49,77,0,1,2.77902,30899372
11,49,77,1,1,2.63784,31326151
12,49,77,0,1,2.81773,31379493
12,49,77,1,1,2.67472,31693470
13,49,77,0,1,2.85139,31610900
13,49,77,1,1,2.70728,31920945
14,49,77,0,1,2.8787,31875141
14,49,77,1,1,2.73379,32453297
15,49,77,0,1,2.89914,31713123
15,49,77,1,1,2.75386,32367433
